search_id,source,interface,query_family,coverage_end,run_timestamp_timezone,status,raw_hit_count,exported_count,raw_export_filename,query
OPENALEX_A,OpenAlex,Works API title_and_abstract.search,A,2026-08-31,2026-09-01T10:14:51+08:00,FINAL_FREEZE_COMPLETE,125,125,OPENALEX_A_page_001.json,"(stockpile OR ""bulk material pile"" OR ""coal pile"" OR ""ore pile"" OR ""aggregate pile"") AND (volume OR volumetry OR inventory OR ""volume change"") AND (LiDAR OR ""laser scanning"" OR ""point cloud"" OR photogrammetry OR SLAM OR ""mobile mapping"")"
OPENALEX_B,OpenAlex,Works API title_and_abstract.search,B,2026-08-31,2026-09-01T10:14:51+08:00,FINAL_FREEZE_COMPLETE,27,27,OPENALEX_B_page_001.json,"(stockpile OR ""bulk material"" OR ""coal pile"" OR ""ore pile"") AND (robot OR robotic OR quadruped OR ""legged robot"" OR ""wheeled-legged"" OR ""mobile mapping"" OR ""handheld scanner"" OR ""backpack scanner"") AND (LiDAR OR ""laser scanning"" OR ""point cloud"" OR survey OR mapping)"
OPENALEX_C,OpenAlex,Works API title_and_abstract.search,C,2026-08-31,2026-09-01T10:14:51+08:00,FINAL_FREEZE_COMPLETE,227,227,OPENALEX_C_page_001.json;OPENALEX_C_page_002.json,"(""point cloud registration"" OR ""multi-session registration"" OR ""DEM co-registration"" OR ""surface change detection"" OR ""point cloud change detection"") AND (uncertainty OR degeneracy OR localizability OR ""error propagation"" OR repeatability OR detectability) AND (repeat OR epoch OR temporal OR change OR longitudinal)"
SEMANTIC_SCHOLAR_A,Semantic Scholar,Academic Graph bulk paper search,A,2026-08-31,2026-09-01T10:14:51+08:00,FINAL_FREEZE_COMPLETE,102,102,SEMANTIC_SCHOLAR_A.json,"(stockpile | ""bulk material pile"" | ""coal pile"" | ""ore pile"" | ""aggregate pile"") + (volume | volumetry | inventory | ""volume change"") + (LiDAR | ""laser scanning"" | ""point cloud"" | photogrammetry | SLAM | ""mobile mapping"")"
SEMANTIC_SCHOLAR_B,Semantic Scholar,Academic Graph bulk paper search,B,2026-08-31,2026-09-01T10:14:51+08:00,FINAL_FREEZE_COMPLETE,13,13,SEMANTIC_SCHOLAR_B.json,"(stockpile | ""bulk material"" | ""coal pile"" | ""ore pile"") + (robot | robotic | quadruped | ""legged robot"" | ""wheeled-legged"" | ""mobile mapping"" | ""handheld scanner"" | ""backpack scanner"") + (LiDAR | ""laser scanning"" | ""point cloud"" | survey | mapping)"
SEMANTIC_SCHOLAR_C,Semantic Scholar,Academic Graph bulk paper search,C,2026-08-31,2026-09-01T10:14:51+08:00,FINAL_FREEZE_COMPLETE,164,164,SEMANTIC_SCHOLAR_C.json,"(""point cloud registration"" | ""multi-session registration"" | ""DEM co-registration"" | ""surface change detection"" | ""point cloud change detection"") + (uncertainty | degeneracy | localizability | ""error propagation"" | repeatability | detectability) + (repeat | epoch | temporal | change | longitudinal)"
