search_id,source,interface,query_family,coverage_end,language_filter,document_filter,run_timestamp_timezone,status,raw_hit_count,exported_count,raw_export_filename,notes
OPENALEX_A,OpenAlex,Works API title_and_abstract.search,A,2026-08-31,None,None,2026-09-01T10:14:51+08:00,FINAL_FREEZE_COMPLETE,125,125,open_final_20260901/OPENALEX_A_page_001.json,Exact query retained in S1 and raw execution log
OPENALEX_B,OpenAlex,Works API title_and_abstract.search,B,2026-08-31,None,None,2026-09-01T10:14:51+08:00,FINAL_FREEZE_COMPLETE,27,27,open_final_20260901/OPENALEX_B_page_001.json,Exact query retained in S1 and raw execution log
OPENALEX_C,OpenAlex,Works API title_and_abstract.search,C,2026-08-31,None,None,2026-09-01T10:14:51+08:00,FINAL_FREEZE_COMPLETE,227,227,open_final_20260901/OPENALEX_C_page_001.json;open_final_20260901/OPENALEX_C_page_002.json,Paginated response; both immutable pages required
SEMANTIC_SCHOLAR_A,Semantic Scholar,Academic Graph bulk paper search,A,2026-08-31,None,None,2026-09-01T10:14:51+08:00,FINAL_FREEZE_COMPLETE,102,102,open_final_20260901/SEMANTIC_SCHOLAR_A.json,Exact query retained in S1 and raw execution log
SEMANTIC_SCHOLAR_B,Semantic Scholar,Academic Graph bulk paper search,B,2026-08-31,None,None,2026-09-01T10:14:51+08:00,FINAL_FREEZE_COMPLETE,13,13,open_final_20260901/SEMANTIC_SCHOLAR_B.json,Exact query retained in S1 and raw execution log
SEMANTIC_SCHOLAR_C,Semantic Scholar,Academic Graph bulk paper search,C,2026-08-31,None,None,2026-09-01T10:14:51+08:00,FINAL_FREEZE_COMPLETE,164,164,open_final_20260901/SEMANTIC_SCHOLAR_C.json,Exact query retained in S1 and raw execution log
