record_id,citation,doi,report_access,full_text_stage,final_role,six_domain_appraisal,quantitative_performance_use
E128,"YANG L, RAN C, YU Z, HAN F, WU W. Surface reconstruction and volume calculation of grain pile based on point cloud information from multiple viewpoints[J]. *Agriculture*, 2025, 15(11): 1208. DOI: 10.3390/agriculture15111208.",10.3390/agriculture15111208,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E129,"WIJAYA D, KARTINI G A J. Accuracy analysis of mining material volume estimation using terrestrial laser scanning and UAV photogrammetry[J]. *Rekayasa Hijau*, 2026, 10(2): 128–142. DOI: 10.26760/jrh.v10i2.128-142.",10.26760/jrh.v10i2.128-142,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E131,"SETYAWAN D, SUSILO Y. Analisis perbandingan volume stockpile batu bara hasil UAV LiDAR dan hasil penimbangan (studi kasus PT. Hardaya Mining Energy, Site Sebakis, Nunukan, Kalimantan Utara)[J]. *El-Jughrafiyah*, 2025, 5(1): 112–123. DOI: 10.24014/jej.v5i1.36301.",10.24014/jej.v5i1.36301,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E132,"HARDIANTI S, MARYANA, DILARIYA. Analisis perbandingan kuantitas batubara antara drone DJI Phantom 4 RTK dengan terrestrial laser scanner pada stockpile LS DH5 [Comparative analysis of coal quantity between DJI Phantom 4 RTK drone and terrestrial laser scanner on LS DH5 stockpile][J]. *Mineral*, 2025, 10(1): 1–6. DOI: 10.33019/rtm5vr96.",10.33019/rtm5vr96,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E133,"BORHAN A S, FAJRIN, ARINI D. Perbandingan volume Run of Mine dengan menggunakan data hasil pengukuran terrestrial laser scanner dan unmanned aerial vehicle[J]. *Globe*, 2025, 3(3): 214–224. DOI: 10.61132/globe.v3i3.1066.",10.61132/globe.v3i3.1066,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E134,"MAULANA M H R, KUNCORO H. Evaluasi pendekatan hybrid dalam pengukuran volume stockpile batubara menggunakan UAV, GNSS RTK dan total station[J]. *Serambi Engineering*, 2025, 10(4): 15653–15659.",,FT,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E178,Albertus Niko Liswanto; Hepriyandi L. Djanas Usup; Ferdinandus Ferdinandus; Wiryanto Wiryanto; Asri Fridtriyanda. Analisis Perbandingan Volume Stockpile Batubara Menggunakan Data Foto Udara Unmanned Aerial Vehicle (UAV) Mavic 3 Pro dengan Hasil Truck Count di PT. Mitra Barito. JURAL RISET RUMPUN ILMU TEKNIK. 2026. https://doi.org/10.55606/jurritek.v5i2.9186,10.55606/jurritek.v5i2.9186,RETRIEVED_OPEN_PDF,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E194,Ping Zhang; Chungang Li; Jian Song; Jianjun Tan; Han Tian; Le Chen; Yongkun Song. A Point Cloud Segmentation Method for Adhering Coal Piles in Industrial Coal Sheds. Journal of Artificial Intelligence. 2026. https://doi.org/10.32604/jai.2026.080463,10.32604/jai.2026.080463,RETRIEVED_OPEN_PDF,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E232,"Megan Fotheringham; Dev Raj Paudyal. COMBINING TERRESTRIAL SCANNED DATASETS WITH UAV POINT CLOUDS FOR MINING OPERATIONS. ISPRS annals of the photogrammetry, remote sensing and spatial information sciences. 2021. https://doi.org/10.5194/isprs-annals-v-4-2021-129-2021",10.5194/isprs-annals-v-4-2021-129-2021,RETRIEVED_OPEN_PDF,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E313,"Daud Wahyu Imani; Mokhamad Nur Cahyadi; Imam Wahyu Farid; Ronny Mardianto. INTEGRATION ANALYSIS OF DRONE MULTI SENSOR-GNSS-LIDAR-CAMERA FOR 3D MAPPING (CASE STUDY: PT GARAM, PAMEKASAN, MADURA). Journal of Marine-Earth Science and Technology. 2023. https://doi.org/10.12962/j27745449.v4i1.699",10.12962/j27745449.v4i1.699,RETRIEVED_OPEN_PDF,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
E328,Thiago Rios Ferreira; José Aurélio Medeiros da Luz; Matheus Henrique de Castro. Live volume of conical stockpile reclaimed by gravity. Research Society and Development. 2022. https://doi.org/10.33448/rsd-v11i6.28908,10.33448/rsd-v11i6.28908,RETRIEVED_OPEN_PDF,INCLUDED,DIRECT-EMPIRICAL,yes,claim-specific
