record_id,citation,doi,report_access,full_text_stage,final_role,six_domain_appraisal,quantitative_performance_use
E43,"BARBER D, MILLS J, SMITH-VOYSEY S. Geometric validation of a ground-based mobile laser scanning system[J]. ISPRS J Photogramm Remote Sens, 2008, 63(1): 128-141. DOI: 10.1016/j.isprsjprs.2007.07.005.",10.1016/j.isprsjprs.2007.07.005,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E44,"KAARTINEN H, HYYPPI J, KUKKO A, et al. Benchmarking the Performance of Mobile Laser Scanning Systems Using a Permanent Test Field[J]. Sensors, 2012, 12(9): 12814-12835. DOI: 10.3390/s120912814.",10.3390/s120912814,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E45,"ZHANG J, SINGH S. LOAM: Lidar Odometry and Mapping in Real-time[C]//Robotics: Science and Systems X. 2014. DOI: 10.15607/RSS.2014.X.007.",10.15607/rss.2014.x.007,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E46,"RYDING J, WILLIAMS E, SMITH M, et al. Assessing Handheld Mobile Laser Scanners for Forest Surveys[J]. Remote Sensing, 2015, 7(1): 1095-1111. DOI: 10.3390/rs70101095.",10.3390/rs70101095,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E48,"DEWEZ T J B, YART S, THUON Y, et al. Towards cavity-collapse hazard maps with Zeb-Revo handheld laser scanner point clouds[J]. The Photogrammetric Record, 2017, 32(160): 354-376. DOI: 10.1111/phor.12223.",10.1111/phor.12223,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E49,"SHAN T, ENGLOT B. LeGO-LOAM: Lightweight and Ground-Optimized Lidar Odometry and Mapping on Variable Terrain[C]//2018 IEEE/RSJ IROS. 2018: 4758-4765. DOI: 10.1109/IROS.2018.8594299.",10.1109/iros.2018.8594299,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E50,"KIM G, KIM A. Scan Context: Egocentric Spatial Descriptor for Place Recognition Within 3D Point Cloud Map[C]//2018 IEEE/RSJ IROS. 2018: 4802-4809. DOI: 10.1109/IROS.2018.8593953.",10.1109/iros.2018.8593953,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E51,"SHAN T, ENGLOT B, MEYERS D, et al. LIO-SAM: Tightly-coupled Lidar Inertial Odometry via Smoothing and Mapping[C]//2020 IEEE/RSJ IROS. 2020: 5135-5142. DOI: 10.1109/IROS45743.2020.9341176.",10.1109/iros45743.2020.9341176,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E52,"XU W, CAI Y, HE D, et al. FAST-LIO2: Fast Direct LiDAR-Inertial Odometry[J]. IEEE Transactions on Robotics, 2022, 38(4): 2053-2073. DOI: 10.1109/TRO.2022.3141876.",10.1109/tro.2022.3141876,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E53,"VIZZO I, GUADAGNINO T, MERSCH B, et al. KISS-ICP: In Defense of Point-to-Point ICP – Simple, Accurate, and Robust Registration If Done the Right Way[J]. IEEE RA-L, 2023, 8(2): 1029-1036. DOI: 10.1109/LRA.2023.3236571.",10.1109/lra.2023.3236571,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E54,"GHARINEIAT Z, TARSHA KURDI F, HENNY K, et al. Assessment of NavVis VLX and BLK2GO SLAM Scanner Accuracy for Outdoor and Indoor Surveying Tasks[J]. Remote Sensing, 2024, 16(17): 3256. DOI: 10.3390/rs16173256.",10.3390/rs16173256,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E61,"RAMEZANI M, BRANDAO M, CASSEAU B, et al. Legged Robots for Autonomous Inspection and Monitoring of Offshore Assets[C]//Offshore Technology Conference, 2020. OTC-30694-MS. DOI: 10.4043/30694-MS.",10.4043/30694-ms,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E62,"KOVAL A, KARLSSON S, NIKOLAKOPOULOS G. Experimental evaluation of autonomous map-based Spot navigation in confined environments[J]. Biomimetic Intelligence and Robotics, 2022, 2(1): 100035. DOI: 10.1016/j.birob.2022.100035.",10.1016/j.birob.2022.100035,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E69,"LI T, HU Y, LIU B, et al. Co-registration and residual correction of digital elevation models: a comparative study[J]. The Cryosphere, 2023, 17(12): 5299-5316. DOI: 10.5194/tc-17-5299-2023.",10.5194/tc-17-5299-2023,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E88,"SIEBERT S, TEIZER J. Mobile 3D mapping for surveying earthwork projects using an unmanned aerial vehicle system[J]. *Automation in Construction*, 2014, 41: 1–14. DOI: 10.1016/j.autcon.2014.01.004.",10.1016/j.autcon.2014.01.004,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E90,"RAMEZANI M, TINCHEV G, IUGANOV E, FALLON M. Online LiDAR-SLAM for legged robots with robust registration and deep-learned loop closure[C]//*IEEE ICRA*. 2020: 4158–4164. DOI: 10.1109/ICRA40945.2020.9196769.",10.1109/icra40945.2020.9196769,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E91,"WANG Y, RAMEZANI M, FALLON M. Actively mapping industrial structures with information gain-based planning on a quadruped robot[C]//*IEEE ICRA*. 2020: 8609–8615. DOI: 10.1109/ICRA40945.2020.9197153.",10.1109/icra40945.2020.9197153,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E92,"WISTH D, CAMURRI M, FALLON M. VILENS: Visual, inertial, lidar, and leg odometry for all-terrain legged robots[J]. *IEEE Transactions on Robotics*, 2023, 39: 309–326. DOI: 10.1109/TRO.2022.3193788.",10.1109/tro.2022.3193788,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E93,"CHUNG D, KIM J, PAIK S, IM S, KIM H. Automated system of scaffold point cloud data acquisition using a robot dog[J]. *Automation in Construction*, 2025, 170: 105944. DOI: 10.1016/j.autcon.2024.105944.",10.1016/j.autcon.2024.105944,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E94,"HUTTER M, GEHRING C, JUD D, et al. ANYmal—Toward legged robots for harsh environments[J]. *Advanced Robotics*, 2017, 31: 918–931. DOI: 10.1080/01691864.2017.1378591.",10.1080/01691864.2017.1378591,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E98,"KOCIUBA W. Different paths for developing terrestrial LiDAR data for comparative analyses of topographic surface changes[J]. *Applied Sciences*, 2020, 10(21): 7409. DOI: 10.3390/app10217409.",10.3390/app10217409,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E99,"NOURBAKHSHBEIDOKHTI S, KINOSHITA A M, CHIN A, FLORSHEIM J L. A workflow to estimate topographic and volumetric changes and errors in channel sedimentation after disturbance[J]. *Remote Sensing*, 2019, 11: 586. DOI: 10.3390/rs11050586.",10.3390/rs11050586,FT,INCLUDED,TRANSFER-METHOD,yes,claim-specific
E119,"SUN M, ZHAO Z, FENG J, et al. Point-cloud segmentation and volume estimation of dense medium piles based on an improved PointNet++[J]. *International Journal of Coal Preparation and Utilization*, 2026, online first. DOI: 10.1080/19392699.2026.2672626.",10.1080/19392699.2026.2672626,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,no,no
E130,"BULDUK M, SALTALI O, CETIN B. Assessment of consumer-grade 3D scanning technologies for aggregate stockpile volume estimation in pavement construction[C]//*Airfield and Highway Pavements 2026*. 2026: 1103–1111. DOI: 10.1061/9780784487037.098.",10.1061/9780784487037.098,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,no,no
E138,"JAISWAL A, JHA K, BUGALIA N, et al. Vision-based volumetric estimation of localized construction and demolition waste[J]. *Waste Management*, 2025, 206: 115046. DOI: 10.1016/j.wasman.2025.115046.",10.1016/j.wasman.2025.115046,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,no,no
E139,"ATTIA T, ELSHABOURY N, HESHAM A, et al. Quantifying construction and demolition waste using SLAM-based mobile mapping system: A case study from Kafr El Sheikh, Egypt[C]//*2021 International Conference on Data Analytics for Business and Industry (ICDABI)*. 2021: 459–463. DOI: 10.1109/ICDABI53623.2021.9655946.",10.1109/icdabi53623.2021.9655946,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,no,no
E79,"MORA O E, CHEN J, STOIBER P, et al. Accuracy of stockpile estimates using low-cost sUAS photogrammetry[J]. *International Journal of Remote Sensing*, 2020, 41(12): 4512–4529. DOI: 10.1080/01431161.2020.1723167.",10.1080/01431161.2020.1723167,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,no,no
E83,"KAMARI M, HAM Y. Vision-based volumetric measurements via deep learning-based point cloud segmentation for material management in jobsites[J]. *Automation in Construction*, 2021, 121: 103430. DOI: 10.1016/j.autcon.2020.103430.",10.1016/j.autcon.2020.103430,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,no,no
E85,"ZHAO S, LU T-F, KOCH B, HURDSMAN A. Dynamic modelling of 3D stockpile for life-cycle management through sparse range point clouds[J]. *International Journal of Mineral Processing*, 2013, 125: 61–77. DOI: 10.1016/j.minpro.2013.09.009.",10.1016/j.minpro.2013.09.009,P-final,NOT_RETRIEVED,ABSTRACT-ONLY,no,no
